Field1,X,Y,Z
41757,586359.962,4475387.9,2.089
41758,586361.219,4475387.952,2.115
41759,586363.04,4475388.291,2.161
41760,586363.973,4475388.505,2.096
41761,586364.984,4475388.833,2.076
41762,586366.113,4475389.06,2.057
41763,586367.177,4475389.406,1.987
41764,586368.151,4475389.656,2.013
41765,586368.761,4475389.731,1.972
41766,586368.739,4475389.761,1.954
41767,586368.791,4475389.836,1.982
41768,586369.08,4475389.685,2.013
41772,586371.142,4475386.259,2.038
13389,586430.138,4474991.928,-0.434
13390,586429.676,4474991.898,-0.393
13391,586429.091,4474991.852,-0.349
13392,586428.285,4474991.662,-0.195
13393,586427.184,4474991.373,-0.043
13394,586426.345,4474991.212,0.072
13395,586425.164,4474991.09,0.222
13396,586424.275,4474990.866,0.364
13397,586423.346,4474990.723,0.483
13398,586422.521,4474990.742,0.582
13399,586418.738,4474990.824,1.06
13400,586417.498,4474990.893,1.169
13401,586416.269,4474990.896,1.307
13402,586414.99,4474990.94,1.463
13428,586378.646,4474993.307,3.109
13429,586375.787,4474992.859,3.044
13430,586374.128,4474992.657,2.914
13431,586372.338,4474992.501,2.901
13432,586368.969,4474992.515,2.794
13433,586367.275,4474992.517,2.772
13434,586365.592,4474992.443,2.744
13435,586363.158,4474992.061,2.691
13436,586361.918,4474991.569,2.646
13437,586360.94,4474991.256,2.641
13438,586358.782,4474990.833,2.588
13439,586357.15,4474990.799,2.55
13440,586355.29,4474990.558,2.513
13441,586352.263,4474990.431,2.441
13442,586350.613,4474990.358,2.402
13443,586348.826,4474990.252,2.378
13444,586345.826,4474990.003,2.285
13445,586342.557,4474989.643,2.224
13446,586339.578,4474989.502,2.229
13447,586338.015,4474989.527,2.302
13448,586336.521,4474989.73,2.38
13449,586335.15,4474989.926,2.437
13450,586333.726,4474990.143,2.475
13451,586332.306,4474990.277,2.53
13452,586330.795,4474990.385,2.609
13453,586329.246,4474990.396,2.64
13454,586327.703,4474990.409,2.676
13455,586326.126,4474990.439,2.721
13456,586324.355,4474990.504,2.771
13457,586322.998,4474990.637,2.885
13458,586321.448,4474990.748,2.925
13459,586319.917,4474990.821,2.973
13460,586318.149,4474990.867,3.033
13461,586316.762,4474990.886,3.075
13462,586315.172,4474990.926,3.135
13463,586313.38,4474990.804,3.228
13464,586311.95,4474990.637,3.263
13465,586310.357,4474990.472,3.348
13466,586308.762,4474990.353,3.42
13467,586307.163,4474990.248,3.458
13468,586305.587,4474990.142,3.579
13469,586304.145,4474989.95,3.573
13470,586302.543,4474989.775,3.585
13471,586300.721,4474989.576,3.566
13472,586299.064,4474989.261,3.593
13473,586297.407,4474988.921,3.641
13474,586295.801,4474988.536,3.626
13475,586294.132,4474988.241,3.638
13476,586292.468,4474987.941,3.654
13477,586290.876,4474987.512,3.674
