Field1,X,Y,Z
33298,586337.29,4475439.963,2.025
33299,586338.335,4475439.992,2.078
33300,586340.358,4475440.245,2.103
33301,586341.368,4475440.296,2.123
33302,586342.377,4475440.395,2.134
33303,586343.356,4475440.461,2.155
33304,586344.306,4475440.551,2.168
33305,586345.313,4475440.62,2.189
33306,586346.336,4475440.692,2.226
33307,586347.4,4475440.669,2.255
33308,586348.508,4475440.686,2.265
33309,586349.655,4475440.639,2.247
33310,586350.709,4475440.613,2.252
33311,586351.712,4475440.634,2.223
33312,586352.738,4475440.572,2.194
33313,586353.81,4475440.714,2.157
33314,586354.92,4475440.761,2.066
33315,586356.02,4475440.881,1.977
33316,586357.173,4475441.006,1.897
33317,586358.278,4475441.127,1.823
33355,586398.367,4475442.546,0.388
33356,586399.307,4475442.364,0.286
33357,586400.207,4475442.224,0.163
33358,586401.159,4475442.133,0.069
33359,586402.096,4475442.026,-0.039
33360,586403.03,4475441.998,-0.154
33361,586404.167,4475441.941,-0.301
33362,586404.966,4475442.131,-0.392
33363,586405.721,4475442.276,-0.478
33364,586406.395,4475442.387,-0.561
33365,586406.508,4475442.472,-0.582
33366,586406.866,4475442.465,-0.617
33367,586407.351,4475442.687,-0.686
33368,586407.894,4475442.801,-0.734
33369,586408.176,4475443.051,-0.8
33370,586407.904,4475442.913,-0.743
33371,586407.382,4475442.917,-0.7
33372,586407.001,4475442.809,-0.635
33373,586406.433,4475442.639,-0.589
33374,586405.718,4475442.453,-0.472
33375,586404.95,4475442.158,-0.403
33376,586404.427,4475442.118,-0.344
33377,586404.311,4475442.085,-0.32
33378,586404.329,4475442.067,-0.333
33379,586404.342,4475442.103,-0.362
33380,586408.088,4475414.458,0.446
33381,586408.092,4475414.45,0.442
33382,586408.353,4475414.46,0.415
33383,586408.927,4475414.525,0.346
33384,586409.591,4475414.573,0.261
33385,586410.208,4475414.573,0.193
33386,586410.82,4475414.573,0.118
33387,586411.356,4475414.525,0.056
33388,586411.829,4475414.574,-0.008
33389,586412.171,4475414.607,-0.049
33390,586412.429,4475414.705,-0.082
33391,586412.632,4475414.721,-0.12
33392,586412.742,4475414.83,-0.129
33393,586412.905,4475414.818,-0.165
33394,586413.078,4475414.887,-0.178
33395,586413.434,4475414.929,-0.253
33396,586414.147,4475415.044,-0.346
33397,586415.228,4475415.217,-0.492
33398,586416.293,4475415.459,-0.601
33399,586417.201,4475415.609,-0.755
33400,586416.862,4475415.711,-0.685
33401,586416.283,4475415.595,-0.626
33402,586415.708,4475415.568,-0.532
33403,586415.275,4475415.538,-0.493
33404,586415.273,4475415.541,-0.497
33405,586415.169,4475415.502,-0.487
33406,586414.88,4475415.42,-0.451
33407,586414.717,4475415.424,-0.442
33408,586414.655,4475415.394,-0.439
33409,586407.647,4475415.13,0.462
33410,586407.566,4475415.107,0.482
33411,586407.051,4475415.097,0.544
33412,586406.219,4475415.139,0.628
33453,586369.507,4475411.782,1.741
33454,586368.622,4475411.796,1.797
33455,586367.596,4475411.818,1.866
33456,586366.694,4475412.011,1.93
33457,586366.025,4475412.074,1.994
33458,586365.032,4475412.177,2.059
33459,586364.254,4475412.301,2.121
33460,586363.419,4475412.431,2.188
33461,586362.49,4475412.501,2.204
33462,586361.511,4475412.534,2.232
33463,586360.505,4475412.531,2.258
33464,586359.455,4475412.495,2.275
33465,586358.516,4475412.411,2.269
33466,586357.534,4475412.328,2.23
33467,586356.54,4475412.275,2.247
33468,586355.538,4475412.169,2.226
33469,586354.576,4475412.138,2.223
33470,586353.461,4475412.061,2.185
33471,586352.394,4475411.896,2.18
33472,586351.328,4475411.747,2.162
33473,586350.274,4475411.669,2.162
33474,586349.232,4475411.589,2.151
33475,586348.124,4475411.555,2.14
33476,586347.027,4475411.52,2.118
33477,586345.886,4475411.472,2.095
33478,586344.845,4475411.398,2.085
33479,586343.769,4475411.326,2.076
33480,586342.631,4475411.293,2.043
33481,586341.533,4475411.232,2.046
33482,586340.365,4475411.177,2.024
33483,586339.085,4475411.164,2.011
33484,586337.857,4475411.09,1.976
33485,586336.607,4475410.998,1.961
33486,586335.338,4475410.976,1.928
33487,586334.085,4475410.941,1.91
33488,586332.549,4475410.935,1.885
33489,586331.49,4475410.946,1.853
33490,586330.172,4475410.873,1.816
33491,586328.612,4475410.747,1.791
33492,586327.335,4475410.636,1.763
33493,586326.069,4475410.59,1.731
33494,586324.781,4475410.524,1.713
33495,586323.581,4475410.436,1.71
33496,586322.341,4475410.413,1.705
33497,586321.081,4475410.39,1.7
33498,586319.648,4475410.323,1.725
33499,586318.731,4475410.218,1.716
33500,586317.585,4475410.074,1.73
33501,586316.398,4475409.998,1.768
33502,586315.172,4475409.969,1.797
33503,586313.966,4475409.911,1.848
33504,586312.728,4475409.926,1.872
33505,586311.578,4475409.85,1.923
33506,586310.239,4475409.761,1.96
33507,586309.312,4475409.686,2.001
33508,586308.101,4475409.621,2.035
33509,586306.948,4475409.528,2.1
33510,586305.472,4475409.477,2.157
33511,586304.262,4475409.404,2.205
33512,586303.068,4475409.429,2.258
33513,586301.89,4475409.396,2.317
33514,586300.709,4475409.238,2.398
33515,586299.507,4475409.199,2.47
33516,586298.331,4475409.214,2.504
33517,586297.253,4475409.236,2.587
33518,586296.083,4475409.157,2.647
33519,586294.959,4475409.193,2.724
33520,586293.813,4475409.055,2.785
33521,586292.621,4475408.954,2.836
33522,586291.391,4475408.933,2.887
33523,586290.224,4475408.934,2.963
33524,586289.027,4475408.856,3
33525,586287.77,4475408.85,3.031
33526,586286.52,4475408.769,3.065
33527,586285.217,4475408.692,3.078
33528,586283.919,4475408.69,3.095
33529,586282.683,4475408.682,3.126
33530,586281.477,4475408.583,3.141
33531,586280.271,4475408.512,3.127
33532,586279.028,4475408.393,3.125
33533,586277.82,4475408.136,3.128
33534,586276.592,4475407.858,3.147
33535,586275.397,4475407.64,3.162
33536,586274.186,4475407.42,3.177
33537,586273.039,4475407.144,3.173
33538,586271.873,4475406.977,3.17
33539,586270.67,4475406.836,3.162
33540,586269.369,4475406.779,3.133
33541,586267.831,4475406.707,3.103
33542,586266.634,4475406.696,3.085
33543,586265.453,4475406.772,3.048
33544,586264.209,4475406.871,3.026
33545,586263.014,4475406.858,3.011
33546,586261.753,4475406.853,2.999
33547,586260.43,4475406.886,3.026
33548,586259.065,4475406.879,3.02
33549,586257.583,4475406.922,3.013
33550,586256.057,4475406.896,3.012
33551,586254.613,4475406.891,2.98
33552,586253.229,4475406.788,3.001
33553,586251.867,4475406.692,2.979
33554,586250.691,4475406.637,2.978
33555,586249.501,4475406.531,2.973
33556,586248.239,4475406.443,2.965
33557,586247.016,4475406.349,2.984
33558,586246.563,4475406.334,2.986
33559,586246.584,4475406.443,2.977
33560,586246.555,4475406.342,2.985
33561,586246.557,4475406.339,2.977
33562,586246.553,4475406.333,2.983
33563,586269.055,4475358.729,3.596
33564,586269.067,4475358.711,3.6
33565,586269.286,4475358.774,3.589
33566,586269.764,4475358.86,3.587
33567,586270.392,4475358.938,3.543
33568,586270.923,4475359.088,3.494
33569,586271.485,4475359.152,3.407
33570,586271.964,4475359.243,3.397
33571,586272.339,4475359.332,3.395
33572,586272.318,4475359.4,3.395
33573,586272.241,4475359.368,3.382
33574,586272.108,4475359.297,3.372
33575,586272.165,4475359.149,3.365
33576,586272.324,4475359.226,3.374
33577,586272.443,4475359.201,3.398
33578,586273.186,4475359.373,3.373
33579,586273.723,4475359.563,3.417
33580,586274.44,4475359.779,3.522
33581,586275.268,4475359.917,3.568
33582,586276.055,4475360.156,3.609
33583,586276.984,4475360.178,3.516
33584,586277.927,4475360.25,3.455
33585,586279.022,4475360.321,3.376
33586,586280.343,4475360.381,3.316
33587,586281.35,4475360.505,3.273
33588,586282.435,4475360.607,3.235
33589,586283.523,4475360.685,3.23
33590,586284.554,4475360.609,3.229
33591,586285.557,4475360.495,3.232
33592,586286.57,4475360.422,3.231
33593,586287.533,4475360.329,3.177
33594,586288.531,4475360.22,3.17
33595,586289.582,4475360.198,3.121
33596,586290.64,4475360.253,3.072
33597,586291.716,4475360.16,3.068
33598,586292.824,4475360.129,3.035
33599,586293.884,4475360.232,3.033
33600,586294.91,4475360.353,3.026
33601,586295.971,4475360.489,3.01
33602,586297.009,4475360.621,3.018
33603,586298.1,4475360.619,3.03
33604,586299.096,4475360.588,3.005
33605,586300.169,4475360.675,2.978
33606,586301.333,4475360.749,2.909
33607,586302.566,4475360.874,2.832
33608,586303.828,4475361.02,2.798
33609,586305.045,4475361.026,2.724
33610,586306.198,4475361.077,2.64
33611,586307.386,4475361.177,2.526
33612,586308.923,4475361.271,2.362
33613,586311.134,4475361.424,2.242
33614,586312.632,4475361.553,2.187
33615,586313.865,4475361.61,2.123
33616,586315.112,4475361.684,2.094
33617,586316.318,4475361.776,2.067
33618,586317.451,4475361.779,2.031
33619,586318.586,4475361.787,1.999
33620,586319.774,4475361.845,1.946
33621,586321.005,4475361.893,1.896
33622,586322.269,4475361.962,1.881
33623,586323.586,4475361.977,1.837
33624,586324.795,4475362.176,1.837
33625,586326.083,4475362.275,1.816
33626,586327.323,4475362.293,1.834
33627,586328.522,4475362.336,1.833
33628,586329.732,4475362.365,1.849
33629,586330.898,4475362.372,1.86
33630,586332.155,4475362.415,1.922
33631,586333.36,4475362.413,1.925
33632,586334.63,4475362.419,1.942
33633,586335.856,4475362.393,1.948
33634,586337.122,4475362.424,1.987
33635,586338.368,4475362.422,2.021
33636,586339.636,4475362.448,2.014
33637,586341.188,4475362.505,2.054
33638,586342.493,4475362.512,2.065
33639,586343.743,4475362.511,2.088
33640,586344.941,4475362.555,2.108
33641,586346.062,4475362.578,2.135
33642,586347.173,4475362.552,2.139
33643,586348.361,4475362.565,2.153
33644,586349.57,4475362.602,2.131
33645,586350.74,4475362.641,2.169
33646,586351.898,4475362.762,2.217
33647,586353.028,4475362.838,2.213
33648,586354.183,4475362.951,2.221
33649,586355.382,4475363.039,2.205
33650,586356.53,4475363.183,2.246
33651,586357.647,4475363.35,2.28
33652,586358.879,4475363.502,2.298
33653,586360.033,4475363.655,2.299
33654,586361.166,4475363.801,2.32
33655,586362.321,4475363.854,2.341
33656,586363.448,4475364.025,2.346
33657,586364.611,4475364.211,2.373
33658,586365.688,4475364.38,2.377
33659,586366.811,4475364.596,2.394
33660,586367.921,4475364.732,2.379
33661,586369.056,4475364.828,2.38
33662,586370.205,4475364.896,2.362
33663,586371.368,4475365.078,2.384
33664,586372.473,4475365.087,2.346
33665,586373.542,4475365.041,2.32
33666,586374.749,4475364.994,2.29
33667,586375.967,4475364.863,2.213
33668,586377.397,4475364.717,2.111
33707,586418.429,4475365.82,0.418
33708,586419.082,4475365.627,0.327
33709,586419.829,4475365.423,0.219
33710,586420.311,4475365.251,0.143
33711,586420.37,4475365.371,0.146
33712,586420.376,4475365.374,0.138
33713,586420.371,4475365.373,0.129
33714,586420.367,4475365.363,0.128
33715,586420.41,4475365.369,0.124
33716,586420.746,4475365.272,0.089
33717,586421.295,4475365.222,0.021
33718,586421.787,4475365.208,-0.047
33719,586422.247,4475365.138,-0.093
33720,586422.777,4475365.065,-0.155
33721,586423.051,4475365.119,-0.191
33722,586423.093,4475365.077,-0.191
33723,586423.099,4475365.086,-0.203
33724,586423.162,4475365.105,-0.197
33725,586423.344,4475365.087,-0.216
33726,586423.573,4475365.126,-0.259
33727,586423.939,4475365.373,-0.294
33728,586424.472,4475365.624,-0.356
33729,586425.143,4475365.797,-0.443
33730,586425.889,4475366.062,-0.532
33731,586426.584,4475366.237,-0.633
33732,586426.846,4475366.469,-0.691
33733,586427.055,4475366.442,-0.691
33734,586427.185,4475366.54,-0.719
33735,586427.336,4475366.533,-0.711
33736,586427.074,4475366.407,-0.711
33737,586426.706,4475366.357,-0.647
33738,586426.456,4475366.31,-0.614
33739,586426.035,4475366.253,-0.59
33740,586425.59,4475366.237,-0.52
33741,586425.195,4475366.143,-0.443
33745,586420.052,4475341.32,0.222
33746,586420.677,4475341.3,0.14
33747,586421.375,4475341.339,0.072
33748,586422.088,4475341.397,-0.004
33749,586422.841,4475341.401,-0.089
33750,586423.567,4475341.385,-0.141
33751,586424.238,4475341.351,-0.218
33752,586424.84,4475341.297,-0.266
33753,586425.254,4475341.277,-0.322
33754,586425.803,4475341.277,-0.388
33755,586426.478,4475341.288,-0.458
33756,586427.152,4475341.262,-0.543
33757,586427.764,4475341.233,-0.63
33758,586428.031,4475341.403,-0.677
33759,586428.69,4475341.383,-0.729
33760,586429.431,4475341.376,-0.808
33761,586429.515,4475341.453,-0.839
33762,586429.015,4475341.451,-0.772
33763,586428.261,4475341.475,-0.675
33764,586427.413,4475341.514,-0.556
33765,586426.39,4475341.514,-0.437
33766,586425.514,4475341.678,-0.326
33767,586425.127,4475341.589,-0.299
33768,586425.005,4475341.613,-0.292
33769,586425.003,4475341.587,-0.295
33814,586380.706,4475339.134,2.105
33815,586379.81,4475339.004,2.162
33816,586378.896,4475338.921,2.186
33817,586378.01,4475338.689,2.255
33818,586377.097,4475338.555,2.327
33819,586376.153,4475338.544,2.366
33820,586375.148,4475338.423,2.434
33821,586374.08,4475338.227,2.435
33822,586373.008,4475337.936,2.447
33823,586371.893,4475337.732,2.444
33824,586370.805,4475337.593,2.462
33825,586369.737,4475337.348,2.399
33826,586368.686,4475337.35,2.395
33827,586367.755,4475337.554,2.377
33828,586366.997,4475337.929,2.356
33829,586366.283,4475338.38,2.334
33830,586365.467,4475338.951,2.34
33831,586364.873,4475339.203,2.332
33832,586364.027,4475339.25,2.329
33833,586363.351,4475339.224,2.324
33834,586362.445,4475339.15,2.292
33835,586361.412,4475339.085,2.277
33836,586360.501,4475339.01,2.294
33837,586359.589,4475338.907,2.27
33838,586358.619,4475338.765,2.244
33839,586357.616,4475338.608,2.251
33840,586356.605,4475338.487,2.214
33841,586355.537,4475338.27,2.22
33842,586354.547,4475338.062,2.217
33843,586353.527,4475337.857,2.201
33844,586352.55,4475337.639,2.206
33845,586351.511,4475337.471,2.195
33846,586350.4,4475337.353,2.178
33847,586349.322,4475337.306,2.147
33848,586348.265,4475337.292,2.137
33849,586347.226,4475337.284,2.127
33850,586346.202,4475337.42,2.121
33851,586345.152,4475337.536,2.092
33852,586344.048,4475337.569,2.115
33853,586342.892,4475337.752,2.082
33854,586341.757,4475337.843,2.066
33855,586340.628,4475337.895,2.017
33856,586339.31,4475337.937,2.05
33857,586338.173,4475337.983,2.027
33858,586337.069,4475337.952,1.996
33859,586335.996,4475337.967,1.976
33860,586334.883,4475337.923,1.96
33861,586333.853,4475337.827,1.946
33862,586332.782,4475337.651,1.949
33863,586331.711,4475337.44,1.931
33864,586330.651,4475337.186,1.924
33865,586329.56,4475336.926,1.913
33866,586328.592,4475336.637,1.943
33867,586327.545,4475336.348,1.93
33868,586326.421,4475336.216,1.965
33869,586325.377,4475336.089,1.954
33870,586324.313,4475335.942,1.994
33871,586323.235,4475335.791,2.022
33872,586322.043,4475335.681,2.049
33873,586321.067,4475335.672,2.046
33874,586320.081,4475335.816,2.097
33875,586319.117,4475335.942,2.123
33876,586318.093,4475336.098,2.133
33877,586317.032,4475336.182,2.178
33878,586316.044,4475336.16,2.198
33879,586315.12,4475336.115,2.235
33880,586314.127,4475336.025,2.268
33881,586313.137,4475335.972,2.349
33882,586312.217,4475335.866,2.439
33883,586311.251,4475335.817,2.559
33884,586310.153,4475335.823,2.726
33885,586309.162,4475335.834,2.87
33886,586308.269,4475335.835,2.951
33887,586307.508,4475335.857,2.955
33888,586306.541,4475335.815,2.957
33889,586305.456,4475335.735,3.008
33890,586304.154,4475335.736,3.044
33891,586302.025,4475335.731,3.105
33892,586300.013,4475335.565,3.138
33893,586298.984,4475335.557,3.118
33894,586297.975,4475335.436,3.124
33895,586296.862,4475335.359,3.107
33896,586295.829,4475335.286,3.166
33897,586294.724,4475335.273,3.18
33898,586293.685,4475335.314,3.208
33899,586292.576,4475335.241,3.181
33900,586291.436,4475335.238,3.19
33901,586290.362,4475335.267,3.263
33902,586289.209,4475335.197,3.268
33903,586288.082,4475335.213,3.324
33904,586286.927,4475335.264,3.343
33905,586285.908,4475335.347,3.397
33906,586284.976,4475335.349,3.451
33907,586283.83,4475335.325,3.471
33908,586282.656,4475335.189,3.484
33909,586281.568,4475335.04,3.45
33910,586280.518,4475334.796,3.467
33911,586279.539,4475334.531,3.475
33912,586278.365,4475334.313,3.493
33913,586277.697,4475334.08,3.512
33914,586276.768,4475333.872,3.581
33915,586275.764,4475333.66,3.654
33916,586275.024,4475333.587,3.751
33917,586274.474,4475333.571,3.796
33918,586274.129,4475333.538,3.792
33919,586274.164,4475333.54,3.79
33920,586274.166,4475333.554,3.788
33921,586274.171,4475333.553,3.791
33922,586274.17,4475333.552,3.795
33923,586273.973,4475334.519,3.801
33924,586274.002,4475334.213,3.808
33925,586273.997,4475334.213,3.81
33926,586274.245,4475334.265,3.808
33927,586274.438,4475334.296,3.799
33928,586274.668,4475334.422,3.792
33929,586274.885,4475334.489,3.742
33930,586274.945,4475334.506,3.723
33931,586275.147,4475334.468,3.699
33932,586275.203,4475334.441,3.693
33933,586275.436,4475334.368,3.696
33934,586275.557,4475334.406,3.696
33935,586275.773,4475334.336,3.706
33936,586275.973,4475334.331,3.707
33937,586276.272,4475334.397,3.641
33938,586276.548,4475334.495,3.574
33939,586276.816,4475334.539,3.576
33940,586277.033,4475334.658,3.544
33941,586277.292,4475334.577,3.528
33942,586277.42,4475334.539,3.515
33943,586277.505,4475334.535,3.502
33944,586277.83,4475334.574,3.525
33945,586277.977,4475334.572,3.51
33946,586277.94,4475334.581,3.514
33947,586277.89,4475334.526,3.509
33948,586277.896,4475334.556,3.503
33949,586277.902,4475334.569,3.502
33950,586277.898,4475334.568,3.501
33951,586277.902,4475334.57,3.502
33952,586275.827,4475334.158,3.692
33953,586275.83,4475334.153,3.695
33954,586275.881,4475334.155,3.689
33955,586276.305,4475334.176,3.632
33956,586277.079,4475334.277,3.534
33957,586277.928,4475334.262,3.494
33958,586278.839,4475334.25,3.491
33959,586279.711,4475334.252,3.495
33960,586280.501,4475334.133,3.458
33961,586281.393,4475333.972,3.449
33962,586282.595,4475333.853,3.464
33963,586283.41,4475333.811,3.442
33964,586284.302,4475333.734,3.478
33965,586285.313,4475333.713,3.423
33966,586286.362,4475333.694,3.451
33967,586287.121,4475333.756,3.374
33968,586287.99,4475333.81,3.333
33969,586288.753,4475333.967,3.32
33970,586289.354,4475334.117,3.299
33971,586289.791,4475334.201,3.274
33972,586290.379,4475334.238,3.268
33973,586291.141,4475334.294,3.204
33974,586291.996,4475334.313,3.218
33975,586292.653,4475334.29,3.18
33976,586293.4,4475334.175,3.207
33977,586294.232,4475334.086,3.224
33978,586295.273,4475334.052,3.142
33979,586296.067,4475334.046,3.165
33980,586296.921,4475334.013,3.167
33981,586297.781,4475334.056,3.165
33982,586298.691,4475334.113,3.14
33983,586299.49,4475334.147,3.156
33984,586300.386,4475334.155,3.119
33985,586301.266,4475334.175,3.141
33986,586302.184,4475334.09,3.09
33987,586303.109,4475334.169,3.076
33988,586304.044,4475334.22,3.048
33989,586305.077,4475334.312,2.988
33990,586306.079,4475334.386,2.958
33991,586307.077,4475334.396,2.897
33992,586308.032,4475334.394,2.842
33993,586308.989,4475334.323,2.808
33994,586309.97,4475334.303,2.7
33995,586311.05,4475334.229,2.577
33996,586312.131,4475334.257,2.422
33997,586313.216,4475334.326,2.348
33998,586314.301,4475334.332,2.26
33999,586315.306,4475334.354,2.222
34000,586316.235,4475334.442,2.189
34001,586317.295,4475334.376,2.147
34002,586318.285,4475334.282,2.163
34003,586319.355,4475334.259,2.121
34004,586320.251,4475334.253,2.102
34005,586321.279,4475334.252,2.071
34006,586322.338,4475334.233,2.05
34007,586323.425,4475334.252,2.015
34008,586324.51,4475334.29,1.973
34009,586325.782,4475334.231,1.96
34010,586326.799,4475334.267,1.952
34011,586327.851,4475334.262,1.948
34012,586328.889,4475334.219,1.945
34013,586329.955,4475334.213,1.934
34014,586331.039,4475334.228,1.907
34015,586332.118,4475334.191,1.927
34016,586333.218,4475334.177,1.955
34017,586334.244,4475334.129,1.966
34018,586335.271,4475334.185,1.957
34019,586336.305,4475334.185,1.979
34020,586337.38,4475334.2,2.002
34021,586338.457,4475334.205,2.007
34022,586339.436,4475334.192,2.029
34023,586340.56,4475334.222,2.035
34024,586341.624,4475334.195,2.031
34025,586342.72,4475334.29,2.078
34026,586344.014,4475334.276,2.086
34027,586345.089,4475334.27,2.095
34028,586346.136,4475334.248,2.095
34029,586347.206,4475334.304,2.11
34030,586348.249,4475334.275,2.133
34031,586349.344,4475334.276,2.147
34032,586350.496,4475334.332,2.144
34033,586351.542,4475334.28,2.153
34034,586352.567,4475334.298,2.134
34035,586353.735,4475334.309,2.157
34036,586354.813,4475334.309,2.204
34037,586355.863,4475334.383,2.211
34038,586356.919,4475334.366,2.252
34039,586358.04,4475334.385,2.261
34040,586359.114,4475334.341,2.267
34041,586360.195,4475334.374,2.267
34042,586361.266,4475334.404,2.26
34043,586362.261,4475334.368,2.309
34044,586363.332,4475334.302,2.293
34045,586364.372,4475334.206,2.316
34046,586365.358,4475334.253,2.344
34047,586366.447,4475334.241,2.336
34048,586367.424,4475334.218,2.368
34049,586368.467,4475334.087,2.385
34050,586369.763,4475334.007,2.405
34051,586371.452,4475333.964,2.476
34052,586372.649,4475333.969,2.481
34053,586374.482,4475333.897,2.389
34054,586375.502,4475333.83,2.361
34055,586376.401,4475333.842,2.318
34056,586377.307,4475333.905,2.262
34057,586378.522,4475334.029,2.178
34058,586379.473,4475334.165,2.151
34059,586380.424,4475334.232,2.128
34060,586381.397,4475334.192,2.056
34061,586382.53,4475334.148,2.03
34062,586383.701,4475334.126,2.034
34099,586419.914,4475333.978,0.417
34100,586420.694,4475334.145,0.308
34101,586421.378,4475334.269,0.219
34102,586421.956,4475334.305,0.148
34103,586422.534,4475334.271,0.07
34104,586423.153,4475334.162,-0.027
34105,586423.766,4475334.068,-0.105
34106,586424.167,4475334.015,-0.163
34107,586424.296,4475333.99,-0.192
34108,586424.324,4475334.016,-0.183
34109,586424.327,4475334.019,-0.187
34110,586424.327,4475334.024,-0.185
34111,586424.341,4475334.078,-0.21
34112,586424.484,4475334.044,-0.245
34113,586424.486,4475334.052,-0.262
34114,586424.545,4475334.075,-0.265
34115,586424.874,4475334.027,-0.217
34116,586425.308,4475334.017,-0.336
34117,586425.89,4475334.068,-0.395
34118,586426.583,4475334.119,-0.528
34119,586427.277,4475334.194,-0.614
34120,586427.528,4475334.274,-0.641
34121,586427.268,4475334.287,-0.614
34122,586426.889,4475334.3,-0.553
34123,586426.357,4475334.26,-0.49
34124,586425.943,4475334.356,-0.408
34125,586425.909,4475334.334,-0.409
34126,586425.92,4475334.322,-0.41
34127,586425.883,4475334.309,-0.432
34138,586422.836,4475315.652,-0.126
34139,586423.818,4475315.707,-0.262
34140,586424.826,4475315.841,-0.397
34141,586425.705,4475315.914,-0.513
34142,586426.67,4475315.841,-0.66
34143,586427.876,4475315.948,-0.795
34144,586428.637,4475315.968,-0.882
34145,586429.341,4475316.053,-1.107
34146,586428.992,4475315.994,-0.97
34147,586428.366,4475315.966,-0.873
34148,586427.633,4475316.129,-0.758
34149,586427.052,4475316.163,-0.685
34150,586426.575,4475316.183,-0.619
34151,586426.255,4475316.105,-0.586
34152,586425.962,4475316.047,-0.559
34153,586425.744,4475316.033,-0.531
34154,586425.307,4475315.945,-0.474
34203,586379.837,4475313.81,2.29
34204,586379.004,4475313.825,2.324
34205,586378.169,4475313.825,2.349
34206,586377.219,4475313.836,2.382
34207,586376.245,4475313.809,2.395
34208,586375.297,4475313.686,2.388
34209,586374.203,4475313.622,2.393
34210,586373.145,4475313.545,2.399
34211,586371.958,4475313.418,2.394
34212,586371.203,4475313.319,2.383
34213,586370.194,4475313.14,2.37
34214,586369.135,4475313.029,2.336
34215,586368.052,4475312.939,2.308
34216,586366.999,4475312.939,2.299
34217,586365.991,4475312.919,2.265
34218,586364.881,4475312.939,2.247
34219,586363.802,4475312.868,2.249
34220,586362.772,4475312.83,2.267
34221,586361.771,4475312.776,2.252
34222,586360.725,4475312.774,2.234
34223,586359.723,4475312.798,2.244
34224,586358.664,4475312.739,2.22
34225,586357.579,4475312.688,2.225
34226,586356.416,4475312.599,2.221
34227,586355.276,4475312.561,2.205
34228,586353.912,4475312.372,2.216
34229,586352.813,4475312.268,2.198
34230,586351.707,4475312.142,2.197
34231,586350.541,4475312.065,2.188
34232,586349.428,4475312.033,2.186
34233,586348.278,4475312.011,2.174
34234,586347.099,4475311.87,2.152
34235,586345.908,4475311.667,2.118
34236,586344.796,4475311.41,2.117
34237,586343.641,4475311.17,2.109
34238,586342.535,4475310.968,2.082
34239,586341.459,4475310.902,2.075
34240,586340.341,4475311.011,2.046
34241,586339.15,4475311.054,2.013
34242,586337.955,4475311.083,1.995
34243,586336.841,4475311.16,1.976
34244,586335.547,4475311.198,1.956
34245,586334.673,4475311.216,1.961
34246,586333.533,4475311.228,1.954
34247,586332.459,4475311.339,1.941
34248,586331.348,4475311.375,1.956
34249,586329.904,4475311.305,1.985
34250,586328.768,4475311.33,2.009
34251,586327.567,4475311.385,2.025
34252,586326.361,4475311.341,2.069
34253,586325.142,4475311.386,2.125
34254,586323.932,4475311.354,2.152
34255,586322.746,4475311.429,2.195
34256,586321.586,4475311.428,2.209
34257,586320.492,4475311.38,2.23
34258,586319.359,4475311.318,2.277
34259,586318.156,4475311.255,2.301
34260,586316.982,4475311.123,2.357
34261,586315.769,4475310.943,2.395
34262,586314.573,4475310.796,2.444
34263,586313.458,4475310.701,2.509
34264,586312.513,4475310.503,2.588
34265,586311.471,4475310.271,2.702
34266,586310.485,4475310.01,2.793
34267,586309.518,4475309.802,2.868
34268,586308.575,4475309.585,2.965
34269,586307.589,4475309.504,3.007
34270,586306.525,4475309.426,3.081
34271,586305.464,4475309.375,3.105
34272,586304.411,4475309.343,3.123
34273,586303.248,4475309.337,3.124
34274,586302.148,4475309.407,3.104
34275,586300.985,4475309.495,3.101
34276,586299.529,4475309.62,3.137
34277,586298.659,4475309.622,3.133
34278,586297.549,4475309.589,3.16
34279,586296.309,4475309.579,3.155
34280,586295.117,4475309.518,3.18
34281,586293.762,4475309.518,3.228
34282,586292.547,4475309.495,3.245
34283,586291.384,4475309.463,3.289
34284,586290.216,4475309.472,3.281
34285,586289.01,4475309.464,3.338
34286,586287.814,4475309.478,3.384
34287,586286.744,4475309.446,3.43
34288,586285.624,4475309.386,3.437
34289,586284.494,4475309.261,3.518
34290,586283.522,4475309.07,3.53
34291,586282.453,4475309.033,3.528
34292,586281.422,4475308.888,3.548
34293,586280.287,4475308.737,3.551
34294,586279.248,4475308.724,3.594
34295,586278.236,4475308.663,3.733
34296,586277.464,4475308.61,3.825
34297,586276.684,4475308.587,3.885
34298,586276.384,4475308.574,3.901
34299,586276.366,4475308.576,3.906
34300,586276.374,4475308.564,3.894
34301,586276.38,4475308.558,3.894
34302,586274.835,4475286.409,3.799
34303,586274.836,4475286.413,3.802
34304,586274.884,4475286.43,3.789
34305,586275.199,4475286.336,3.777
34306,586275.6,4475286.267,3.765
34307,586275.968,4475286.221,3.728
34308,586276.238,4475286.253,3.705
34309,586276.551,4475286.29,3.715
34310,586276.924,4475286.312,3.691
34311,586277.226,4475286.35,3.677
34312,586277.514,4475286.484,3.686
34313,586277.864,4475286.682,3.671
34314,586277.812,4475286.648,3.65
34315,586277.725,4475286.402,3.647
34316,586277.964,4475286.378,3.664
34317,586278.324,4475286.233,3.673
34318,586279.319,4475286.146,3.64
34319,586280.041,4475286.113,3.6
34320,586280.998,4475286.28,3.583
34321,586282.066,4475286.578,3.582
34322,586282.758,4475286.775,3.592
34323,586283.81,4475287.041,3.583
