ID,X,Y,Z
100174,586296.188,4475900.29,2.102
100175,586295.913,4475900.092,2.133
100176,586295.633,4475899.956,2.153
100177,586295.261,4475899.834,2.166
100178,586294.942,4475899.924,2.2
100179,586294.391,4475899.967,2.253
100180,586293.613,4475899.882,2.311
100181,586292.748,4475899.764,2.393
100182,586291.885,4475899.578,2.449
100183,586291.143,4475899.413,2.508
100184,586290.364,4475899.254,2.564
100185,586289.563,4475899.12,2.621
100186,586288.787,4475899.012,2.669
100187,586288.067,4475898.994,2.699
100188,586287.358,4475898.929,2.713
100189,586286.552,4475898.915,2.727
100190,586285.767,4475898.849,2.753
100191,586285.024,4475898.81,2.773
100192,586284.36,4475898.956,2.811
100193,586283.631,4475899.165,2.806
100194,586282.747,4475899.281,2.787
100195,586281.824,4475899.288,2.782
100196,586280.915,4475899.399,2.784
100197,586280.122,4475899.542,2.782
100198,586279.221,4475899.649,2.779
100199,586278.276,4475899.664,2.761
100200,586277.239,4475899.571,2.749
100201,586276.254,4475899.544,2.733
100202,586275.407,4475899.524,2.701
100203,586274.435,4475899.45,2.694
100204,586273.385,4475899.463,2.644
100205,586272.498,4475899.413,2.634
100206,586271.615,4475899.443,2.591
100207,586270.708,4475899.407,2.571
100208,586269.834,4475899.529,2.564
100209,586268.856,4475899.621,2.572
100210,586267.917,4475899.721,2.544
100211,586267.121,4475899.633,2.516
100212,586266.128,4475899.613,2.467
100213,586265.265,4475899.622,2.444
100214,586264.223,4475899.62,2.389
100215,586263.11,4475899.729,2.34
100216,586262.089,4475899.824,2.27
100217,586261.088,4475899.902,2.189
100218,586260.069,4475899.946,2.115
100219,586259.015,4475899.998,2.039
100220,586257.966,4475900.046,1.999
100221,586256.933,4475900.114,1.963
100222,586255.947,4475900.136,1.971
100223,586254.891,4475900.211,1.903
100224,586253.829,4475900.171,1.89
100225,586252.878,4475900.18,1.827
100226,586251.762,4475900.124,1.84
100227,586250.565,4475900.022,1.818
100228,586249.596,4475899.981,1.816
100229,586248.767,4475899.88,1.835
100230,586247.822,4475899.806,1.822
100231,586246.916,4475899.737,1.852
100232,586245.913,4475899.774,1.872
100233,586244.973,4475899.868,1.926
100234,586244.185,4475899.863,2.008
100235,586243.326,4475899.845,2.041
100236,586242.556,4475899.823,2.101
100237,586241.702,4475899.851,2.154
100238,586240.877,4475899.946,2.211
100239,586240.148,4475899.983,2.276
100240,586239.337,4475899.93,2.351
100241,586238.656,4475899.949,2.449
100242,586237.916,4475899.962,2.552
100243,586237.241,4475900.075,2.692
100244,586236.553,4475900.101,2.811
100245,586236.35,4475900.094,2.849
100246,586236.368,4475900.106,2.836
100247,586236.377,4475900.122,2.839
100248,586236.377,4475900.125,2.842
100249,586236.375,4475900.13,2.846
100250,586236.382,4475900.14,2.841
100251,586236.393,4475900.157,2.841
100252,586235.706,4475875.457,2.809
100253,586235.71,4475875.458,2.806
100254,586235.708,4475875.466,2.811
100255,586235.807,4475875.468,2.809
100256,586236.145,4475875.46,2.762
100257,586236.656,4475875.373,2.672
100258,586237.096,4475875.329,2.578
100259,586237.541,4475875.276,2.52
100260,586237.552,4475875.304,2.511
