ID,X,Y,Z
1000,586220.752,4475925.204,2.56
1001,586220.753,4475925.201,2.566
1002,586220.753,4475925.199,2.571
1003,586220.755,4475925.191,2.58
1004,586220.76,4475925.181,2.579
1005,586220.846,4475925.298,2.585
1006,586221.396,4475925.304,2.563
1007,586222.149,4475925.297,2.541
1008,586223.026,4475925.316,2.528
1009,586223.933,4475925.302,2.509
1010,586224.855,4475925.215,2.488
1011,586225.83,4475925.144,2.473
1012,586226.674,4475925.088,2.463
1013,586227.36,4475925.133,2.442
1014,586228.103,4475925.15,2.418
1015,586228.958,4475925.151,2.388
1016,586229.847,4475925.107,2.383
1017,586230.707,4475925.137,2.352
1018,586231.538,4475925.13,2.327
1019,586232.406,4475925.244,2.304
1020,586233.29,4475925.292,2.282
1021,586234.218,4475925.263,2.226
1022,586235.103,4475925.233,2.191
1023,586236.004,4475925.181,2.122
1024,586236.95,4475925.125,2.072
1025,586237.903,4475925.06,2.044
1026,586238.862,4475925.054,2.021
1027,586239.825,4475925.064,1.978
1028,586240.738,4475925.072,1.923
1029,586241.656,4475925.098,1.881
1030,586242.54,4475925.204,1.852
1031,586243.434,4475925.321,1.833
1032,586244.307,4475925.395,1.81
1033,586245.218,4475925.49,1.777
1034,586246.138,4475925.503,1.766
1035,586247.132,4475925.542,1.746
1036,586248.077,4475925.531,1.749
1037,586248.818,4475925.482,1.755
1038,586249.186,4475925.481,1.751
1039,586249.883,4475925.504,1.769
1040,586250.727,4475925.533,1.8
1041,586251.649,4475925.53,1.841
1042,586252.616,4475925.394,1.88
1043,586253.605,4475925.298,1.873
1044,586254.513,4475925.255,1.903
1045,586255.425,4475925.221,1.94
1046,586256.315,4475925.251,1.944
1047,586257.224,4475925.316,1.996
1048,586258.125,4475925.327,2.06
1049,586258.928,4475925.336,2.101
1050,586259.702,4475925.375,2.135
1051,586260.439,4475925.339,2.166
1052,586261.263,4475925.344,2.219
1053,586262.11,4475925.253,2.259
1054,586262.965,4475925.273,2.289
1055,586263.809,4475925.253,2.329
1056,586264.657,4475925.217,2.339
1057,586265.508,4475925.229,2.372
1058,586266.434,4475925.244,2.371
1059,586267.346,4475925.227,2.394
1060,586268.288,4475925.262,2.414
1061,586269.256,4475925.245,2.433
1062,586270.227,4475925.296,2.467
1063,586271.178,4475925.254,2.479
1064,586272.186,4475925.298,2.49
1065,586273.181,4475925.337,2.524
1066,586274.234,4475925.394,2.532
1067,586275.257,4475925.35,2.549
1068,586276.332,4475925.359,2.54
1069,586277.405,4475925.411,2.552
1070,586278.483,4475925.381,2.552
1071,586279.641,4475925.46,2.502
1072,586280.703,4475925.488,2.507
1073,586281.808,4475925.468,2.506
1074,586282.896,4475925.526,2.487
1075,586283.913,4475925.511,2.45
1076,586284.926,4475925.609,2.411
1077,586285.962,4475925.646,2.339
1078,586287.032,4475925.614,2.259
1079,586287.992,4475925.593,2.223
1080,586289.04,4475925.539,2.151
1081,586290.03,4475925.503,2.089
1082,586290.832,4475925.543,2.054
1083,586291.676,4475925.528,2.044
1084,586292.645,4475925.501,2.009
1085,586293.541,4475925.472,2.03
1086,586294.515,4475925.381,2.028
1087,586295.439,4475925.298,2.025
1088,586296.416,4475925.209,2.01
1089,586297.427,4475925.139,1.947
1090,586298.394,4475925.065,1.845
1091,586299.34,4475925.01,1.786
1092,586300.207,4475924.976,1.702
1093,586301.144,4475925.122,1.641
1094,586302.121,4475925.328,1.558
1095,586302.998,4475925.398,1.471
1096,586303.825,4475925.475,1.399
1097,586304.744,4475925.593,1.323
1098,586305.711,4475925.628,1.234
1099,586306.73,4475925.637,1.151
1100,586307.645,4475925.624,1.084
1101,586308.484,4475925.532,1.005
1102,586309.404,4475925.514,0.925
1103,586310.315,4475925.469,0.839
1104,586311.288,4475925.454,0.735
1105,586312.263,4475925.496,0.645
1106,586313.193,4475925.548,0.547
1107,586314.146,4475925.56,0.457
1108,586315.141,4475925.514,0.366
1109,586316.144,4475925.492,0.265
1110,586317.202,4475925.496,0.151
1111,586318.232,4475925.499,0.039
1112,586319.24,4475925.45,-0.074
1113,586320.228,4475925.466,-0.196
1114,586321.239,4475925.445,-0.329
1115,586322.24,4475925.425,-0.473
1116,586323.262,4475925.428,-0.589
1117,586324.288,4475925.469,-0.725
1118,586325.172,4475925.42,-0.848
1119,586325.678,4475925.449,-0.934
1120,586325.735,4475925.453,-0.937
1121,586325.735,4475925.421,-0.94
1122,586325.738,4475925.421,-0.937
1123,586325.753,4475925.411,-0.945
1124,586331.301,4475900.32,-0.932
1125,586331.312,4475900.318,-0.944
1126,586331.309,4475900.319,-0.935
1127,586331.313,4475900.316,-0.935
1128,586331.341,4475900.384,-0.931
1129,586331.18,4475900.423,-0.903
1130,586330.742,4475900.333,-0.835
1131,586330.164,4475900.189,-0.762
1132,586329.547,4475900.078,-0.68
1133,586328.934,4475899.947,-0.58
1134,586328.811,4475899.981,-0.556
1135,586328.7,4475899.873,-0.547
1136,586328.26,4475899.935,-0.495
1137,586327.776,4475899.953,-0.434
1138,586327.196,4475899.975,-0.361
1139,586326.579,4475900.129,-0.283
1140,586326.002,4475900.374,-0.219
1141,586325.431,4475900.609,-0.153
1142,586324.885,4475900.647,-0.09
1143,586324.408,4475900.605,-0.03
1144,586323.797,4475900.578,0.046
1145,586323.145,4475900.576,0.108
1146,586322.932,4475900.529,0.13
1147,586322.938,4475900.639,0.125
1148,586322.967,4475900.769,0.108
1149,586322.891,4475900.715,0.141
1150,586322.253,4475900.628,0.215
1151,586321.542,4475900.55,0.29
1152,586320.869,4475900.347,0.361
1153,586320.19,4475900.24,0.445
1154,586319.412,4475900.212,0.521
1155,586318.798,4475900.269,0.577
1156,586318.397,4475900.251,0.617
1157,586317.897,4475900.255,0.675
1158,586317.315,4475900.288,0.746
1159,586316.417,4475900.422,0.832
1160,586315.553,4475900.454,0.911
1161,586314.699,4475900.606,0.988
1162,586313.788,4475900.706,1.064
1163,586312.862,4475900.739,1.158
1164,586311.977,4475900.79,1.239
1165,586311.089,4475900.851,1.312
1166,586310.279,4475900.803,1.396
1167,586309.552,4475900.79,1.452
1168,586308.752,4475900.76,1.531
1169,586308.187,4475900.643,1.576
1170,586307.782,4475900.567,1.604
1171,586307.14,4475900.519,1.645
1172,586306.427,4475900.473,1.685
1173,586305.767,4475900.39,1.722
1174,586305.117,4475900.372,1.779
1175,586304.448,4475900.44,1.828
1176,586303.691,4475900.418,1.897
1177,586302.915,4475900.429,1.949
1178,586302.143,4475900.469,1.994
1179,586301.442,4475900.469,2.025
1180,586300.722,4475900.449,2.043
1181,586299.97,4475900.428,2.048
1182,586299.203,4475900.433,2.057
1183,586298.427,4475900.387,2.064
1184,586297.491,4475900.375,2.069
1185,586296.522,4475900.434,2.08
1186,586295.51,4475900.437,2.109
1187,586294.527,4475900.425,2.15
1188,586293.553,4475900.521,2.202
1189,586292.531,4475900.54,2.259
1190,586291.539,4475900.558,2.317
1191,586290.558,4475900.593,2.344
1192,586289.663,4475900.597,2.369
1193,586288.795,4475900.567,2.41
1194,586287.886,4475900.459,2.439
1195,586286.966,4475900.453,2.487
1196,586285.979,4475900.346,2.476
1197,586285.084,4475900.485,2.48
1198,586284.105,4475900.531,2.487
1199,586283.09,4475900.557,2.5
1200,586282.079,4475900.626,2.48
1201,586281.136,4475900.74,2.482
1202,586280.149,4475900.805,2.478
1203,586279.112,4475900.744,2.454
1204,586278.107,4475900.722,2.455
1205,586277.06,4475900.615,2.44
1206,586276.08,4475900.471,2.43
1207,586275.026,4475900.287,2.404
1208,586273.959,4475900.247,2.375
1209,586272.85,4475900.226,2.359
1210,586271.799,4475900.186,2.343
1211,586270.772,4475900.045,2.328
1212,586269.738,4475899.979,2.323
1213,586268.697,4475899.971,2.294
1214,586267.732,4475899.987,2.204
1215,586266.764,4475900.081,2.162
1216,586265.79,4475900.184,2.109
1217,586264.816,4475900.227,2.065
1218,586263.807,4475900.216,1.983
1219,586262.961,4475900.195,1.912
1220,586262.115,4475900.162,1.851
1221,586261.22,4475900.124,1.787
1222,586260.333,4475900.133,1.784
1223,586259.335,4475900.097,1.729
1224,586258.311,4475900.164,1.695
1225,586257.256,4475900.219,1.676
1226,586256.193,4475900.241,1.659
1227,586255.158,4475900.334,1.685
1228,586254.121,4475900.403,1.683
1229,586253.098,4475900.514,1.698
1230,586252.043,4475900.644,1.713
1231,586251.031,4475900.783,1.744
1232,586250.014,4475900.916,1.768
1233,586248.929,4475901.01,1.778
1234,586247.878,4475901.13,1.813
1235,586246.823,4475901.198,1.855
1236,586245.857,4475901.151,1.896
1237,586244.96,4475901.092,1.974
1238,586244.203,4475900.952,2.005
1239,586243.744,4475900.849,2.039
1240,586243.026,4475900.677,2.088
1241,586242.202,4475900.497,2.136
1242,586241.367,4475900.24,2.207
1243,586240.541,4475900.156,2.238
1244,586239.728,4475900.165,2.29
1245,586238.89,4475900.137,2.386
1246,586238.13,4475900.057,2.488
1247,586237.427,4475900.042,2.581
1248,586236.799,4475900.083,2.676
1249,586236.43,4475900.057,2.723
1250,586236.307,4475900.118,2.72
1251,586236.308,4475900.117,2.715
1252,586236.31,4475900.122,2.718
1253,586236.313,4475900.125,2.722
1254,586235.744,4475875.454,2.736
1255,586235.745,4475875.454,2.739
1256,586235.743,4475875.453,2.732
1257,586235.742,4475875.453,2.731
1258,586235.754,4475875.431,2.734
1259,586235.868,4475875.438,2.714
1260,586236.153,4475875.396,2.677
1261,586236.53,4475875.336,2.626
1262,586236.885,4475875.327,2.589
1263,586237.274,4475875.317,2.54
1264,586237.706,4475875.296,2.492
1265,586238.139,4475875.332,2.426
1266,586238.275,4475875.285,2.403
1267,586238.158,4475875.259,2.4
1268,586238.321,4475875.232,2.388
1269,586238.398,4475875.225,2.378
1270,586238.909,4475875.205,2.327
1271,586239.637,4475875.152,2.255
1272,586240.502,4475875.23,2.216
1273,586241.419,4475875.301,2.158
1274,586242.348,4475875.308,2.086
1275,586243.331,4475875.374,2.01
1276,586244.333,4475875.407,1.941
1277,586245.432,4475875.403,1.877
1278,586246.587,4475875.472,1.816
1279,586247.659,4475875.523,1.749
1280,586248.746,4475875.535,1.695
1281,586249.881,4475875.584,1.649
1282,586251.005,4475875.59,1.6
1283,586252.104,4475875.634,1.595
1284,586253.211,4475875.671,1.579
1285,586254.292,4475875.682,1.557
1286,586255.364,4475875.591,1.545
1287,586256.371,4475875.64,1.575
1288,586257.481,4475875.659,1.552
1289,586258.572,4475875.724,1.575
1290,586259.627,4475875.785,1.605
1291,586260.603,4475875.825,1.63
1292,586261.677,4475875.865,1.643
1293,586262.774,4475875.858,1.679
1294,586263.862,4475875.944,1.741
1295,586264.813,4475875.893,1.777
1296,586265.805,4475875.773,1.818
1297,586266.851,4475875.69,1.875
1298,586267.847,4475875.543,1.953
1299,586268.822,4475875.502,2.012
1300,586269.669,4475875.455,2.05
1301,586270.513,4475875.468,2.092
1302,586271.441,4475875.458,2.138
1303,586272.422,4475875.442,2.197
1304,586273.293,4475875.455,2.251
1305,586274.252,4475875.494,2.27
1306,586275.353,4475875.474,2.302
1307,586276.451,4475875.454,2.348
1308,586277.514,4475875.513,2.378
1309,586278.576,4475875.434,2.384
1310,586279.684,4475875.446,2.399
1311,586280.755,4475875.415,2.439
1312,586281.816,4475875.405,2.432
1313,586282.859,4475875.357,2.441
1314,586283.873,4475875.399,2.472
1315,586284.981,4475875.379,2.465
1316,586286.081,4475875.388,2.475
1317,586287.227,4475875.329,2.485
1318,586288.312,4475875.314,2.471
1319,586289.419,4475875.384,2.451
1320,586290.487,4475875.361,2.454
1321,586291.567,4475875.367,2.439
1322,586292.633,4475875.36,2.441
1323,586293.709,4475875.35,2.412
1324,586294.806,4475875.336,2.382
1325,586295.901,4475875.348,2.337
1326,586296.979,4475875.325,2.284
1327,586298.16,4475875.399,2.217
1328,586299.366,4475875.392,2.171
1329,586300.551,4475875.404,2.12
1330,586301.736,4475875.395,2.096
1331,586302.869,4475875.396,2.106
1332,586303.83,4475875.378,2.105
1333,586304.806,4475875.346,2.086
1334,586305.856,4475875.295,2.048
1335,586306.91,4475875.282,1.969
1336,586307.93,4475875.241,1.888
1337,586308.974,4475875.191,1.817
1338,586310.007,4475875.173,1.755
1339,586310.969,4475875.218,1.732
1340,586311.94,4475875.197,1.711
1341,586312.951,4475875.202,1.678
1342,586313.993,4475875.168,1.601
1343,586315.091,4475875.201,1.504
